Name,count(*)
Lost,91
Iron Maiden,60
The Office,53
Metallica,38
Led Zeppelin,28
Battlestar Galactica (Classic),24
Heroes,23
Battlestar Galactica,20
Deep Purple,19
Santana,11
Miles Davis,8
Guns N' Roses,7
"Terry Bozzio, Tony Levin & Steve Stevens",7
Ozzy Osbourne,5
Faith No More,4
